iter	Passed	Remaining
965	33992	1196
966	34017	1160
967	34041	1125
968	34094	1090
969	34138	1055
970	34188	1021
971	34242	986
972	34283	951
973	34331	916
974	34380	881
975	34427	846
976	34481	811
977	34522	776
978	34568	741
979	34606	706
980	34644	670
981	34681	635
982	34726	600
983	34753	565
984	34798	529
985	34844	494
986	34886	459
987	34927	424
988	34964	388
989	35008	353
990	35046	318
991	35079	282
992	35109	247
993	35142	212
994	35177	176
995	35213	141
996	35246	106
997	35270	70
998	35307	35
999	35337	0
